frame,channel,frame_type,bits_S,bits_sfc,nonzero,maxAbs,codebook,iterations
0,chl,OLS,1482,282,371,3,5,59
0,chr,OLS,1505,263,373,3,5,59
1,chl,OLS,1435,299,349,3,5,59
1,chr,OLS,1555,277,386,3,5,59
2,chl,OLS,1366,280,313,3,5,59
2,chr,OLS,1332,299,305,3,5,59
3,chl,OLS,1382,301,317,3,5,59
3,chr,OLS,1351,282,308,3,5,59
4,chl,OLS,1419,278,333,3,5,59
4,chr,OLS,1392,276,323,3,5,59
5,chl,OLS,1348,286,299,3,5,59
5,chr,OLS,1409,266,318,3,5,59
6,chl,OLS,1363,288,310,3,5,59
6,chr,OLS,1274,300,280,3,5,59
7,chl,OLS,1367,289,304,3,5,59
7,chr,OLS,1327,281,289,3,5,59
8,chl,OLS,1309,311,289,3,5,59
8,chr,OLS,1361,315,304,3,5,59
9,chl,OLS,1289,300,284,3,5,59
9,chr,OLS,1284,299,273,3,5,59
10,chl,OLS,1283,299,276,4,5,59
10,chr,OLS,1269,291,277,3,5,59
11,chl,OLS,1302,298,283,3,5,59
11,chr,OLS,1317,301,286,4,5,59
12,chl,OLS,1358,320,299,3,5,59
12,chr,OLS,1261,327,269,3,5,59
13,chl,OLS,2290,317,363,9,9,59
13,chr,OLS,1251,296,255,4,5,59
14,chl,OLS,1387,325,322,3,5,59
14,chr,OLS,2103,315,297,6,7,59
15,chl,OLS,1358,331,298,3,5,59
15,chr,OLS,1278,355,284,3,5,59
16,chl,OLS,1341,302,303,3,5,59
16,chr,OLS,1324,310,308,3,5,59
17,chl,OLS,1365,300,304,4,5,59
17,chr,OLS,1368,305,318,4,5,59
18,chl,OLS,1414,293,327,3,5,59
18,chr,OLS,1327,290,297,4,5,59
19,chl,OLS,1429,292,327,4,5,59
19,chr,OLS,2078,292,276,6,7,59
20,chl,OLS,1360,314,313,3,5,59
20,chr,OLS,1398,319,329,4,5,59
21,chl,OLS,1405,290,338,3,5,59
21,chr,OLS,1437,285,342,3,5,59
22,chl,OLS,1344,286,306,3,5,59
22,chr,OLS,1377,294,318,3,5,59
23,chl,OLS,1435,273,341,3,5,59
23,chr,OLS,1454,265,351,3,5,59
24,chl,LSS,1379,291,321,3,5,59
24,chr,LSS,1324,305,302,3,5,59
25,chl,ESH,2704,1759,528,5,7,59
25,chr,ESH,2165,1866,547,4,5,59
26,chl,LPS,1373,289,326,3,5,59
26,chr,LPS,1378,290,331,3,5,59
27,chl,OLS,1446,296,354,3,5,59
27,chr,OLS,1386,276,326,3,5,59
28,chl,OLS,1347,284,310,3,5,59
28,chr,OLS,1377,279,324,3,5,59
29,chl,OLS,1387,286,318,3,5,59
29,chr,OLS,1407,279,337,4,5,59
30,chl,OLS,1402,283,333,3,5,59
30,chr,OLS,1382,288,326,3,5,59
31,chl,OLS,1325,287,302,3,5,59
31,chr,OLS,1360,293,324,3,5,59
32,chl,OLS,1388,293,326,3,5,59
32,chr,OLS,1411,297,329,3,5,59
33,chl,OLS,1444,279,353,3,5,59
33,chr,OLS,1432,290,346,3,5,59
34,chl,OLS,1467,262,357,3,5,59
34,chr,OLS,1398,274,327,3,5,59
35,chl,OLS,1479,295,355,4,5,59
35,chr,OLS,1465,296,344,3,5,59
36,chl,OLS,1457,310,351,3,5,59
36,chr,OLS,1419,296,333,3,5,59
37,chl,OLS,1444,289,355,3,5,59
37,chr,OLS,1528,267,379,3,5,59
38,chl,OLS,1452,287,343,3,5,59
38,chr,OLS,1452,293,355,3,5,59
39,chl,OLS,1396,288,330,3,5,59
39,chr,OLS,1488,292,365,3,5,59
